,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
236,2017-08-24,2017,234114,234114,295754110.1333396,3374405.616665946,177966,0,243,0.832034820642936,102636315,30068077,72568238,235066,235066,251919036.1000046,3369671.566666044,178753,0,243,0.842435741451333,2323517534,30037160,64183433,-952,-952,43835074.03333497,4734.049999902025,-787,0,0,-0.010400920808397052,-2220881219,30917,8384805,1263.2910040977454,1071.6949116418564,191.596092455889,0.76016812322202,0.760437494150579,-787
237,2017-08-25,2017,231500,231500,296236957.46666956,3351911.249999222,175521,0,157,0.8284276457883364,91744366,26441713,65302653,232127,232127,252632360.0999998,3347904.7999994503,176147,0,157,0.838803758287501,2328673197,26411876,56790362,-627,-627,43604597.366669774,4006.4499997715466,-626,0,0,-0.010376112499164591,-2236928831,29837,8512291,1279.6412849532162,1088.3368160532802,191.30446889993596,0.7581900647948164,0.7588389114579519,-626
238,2017-08-26,2017,231209,231209,296196593.9833353,3341431.6666659703,175821,0,158,0.8388903546142112,105958357,30099802,75858555,246552,246552,252841338.69999194,3344213.599999941,182223,0,158,0.8267018722216822,2334508034,30190680,66771346,-15343,-15343,43355255.283343375,-2781.9333339706063,-6402,0,0,0.01218848239252901,-2228549677,-90878,9087209,1281.0772676813417,1025.5091773743143,255.56809030702743,0.7604418513120164,0.7390854667575197,-6402
239,2017-08-27,2017,227817,227817,296496840.266678,3270818.3499991763,172779,0,159,0.8320976924461394,103961993,29537121,74424872,230328,230328,248974454.08332855,3266877.3499999302,174429,0,159,0.8407314785870575,2294873069,29514293,65303478,-2511,-2511,47522386.18334943,3940.9999992460944,-1650,0,0,-0.008633786140918143,-2190911076,22828,9121394,1301.4693384017785,1080.956089070059,220.5132493317194,0.7584113564834933,0.7573069709284151,-1650
240,2017-08-28,2017,231120,231120,297025904.8166695,3328402.0499992515,174204,0,160,0.824688473520245,93857973,28651764,65206209,231948,231948,248938908.8333311,3323440.8333330625,175044,0,163,0.8368513632365826,2293717160,28616904,57335696,-828,-828,48086995.983338416,4961.216666189022,-840,0,-3,-0.01216288971633761,-2199859187,34860,7870513,1285.1588128100966,1073.2530948028484,211.9057180072482,0.7537383177570094,0.7546691499818925,-840
241,2017-08-29,2017,224878,224878,297013652.16667384,3272502.933332622,168564,0,75,0.8118846663524196,79624075,26557748,53066327,225692,225692,249129480.53333503,3268156.249999811,169284,0,66,0.8216596068978975,2295815017,26547974,46461793,-814,-814,47884171.63333881,4346.68333281111,-720,0,9,-0.009774940545477895,-2216190942,9774,6604534,1320.7768308446084,1103.8471923388292,216.92963850577917,0.7495797721431176,0.7500664622582989,-720
242,2017-08-30,2017,223503,223503,297156608.1500104,3276832.633332743,169931,0,74,0.823514673181116,80555039,26800364,53754675,224371,224371,249555940.06666562,3272295.18333315,170770,0,66,0.8347157163804676,2299357605,26787932,46974333,-868,-868,47600668.08334479,4537.449999592733,-839,0,8,-0.011201043199351557,-2218802566,12432,6780342,1329.5419218087025,1112.2468592940515,217.2950625146509,0.7603074679087082,0.7611054904599971,-839
243,2017-08-31,2017,225826,225826,297403489.40001065,3280678.483332703,172292,0,75,0.8287973926828633,81825485,26961820,54863665,227129,227129,250057861.18333355,3276643.9166664453,173150,0,58,0.8383253569557392,2304330779,26982470,47872103,-1303,-1303,47345628.2166771,4034.5666662575677,-858,0,17,-0.009527964272875833,-2222505294,-20650,6991562,1316.9585849282662,1100.9508305118834,216.0077544163828,0.7629413796462763,0.7623421051472952,-858
244,2017-09-01,2017,228146,228146,297368547.9166678,3320961.6166660157,175002,0,141,0.8397079063406631,80221853,26925273,53296580,229445,229445,250330619.48333213,3317582.7833326557,176022,0,141,0.8502429776199164,2307276077,26910791,46617932,-1299,-1299,47037928.43333569,3378.8333333600312,-1020,0,0,-0.01053507127925335,-2227054224,14482,6678648,1303.413375280162,1091.026692598802,212.38668268136007,0.7670614431109903,0.7671642441543725,-1020
245,2017-09-02,2017,226053,226053,297590441.050007,3337760.4666660046,172143,0,155,0.8339106315775594,81330227,27125317,54204910,227225,227225,250829259.69999844,3334035.399999387,173033,0,155,0.8470106722411851,2311630448,27127679,47029516,-1172,-1172,46761181.35000855,3725.066666617524,-890,0,0,-0.01310004066362569,-2230300221,-2362,7175394,1316.4631349728027,1103.8805575970885,212.5825773757142,0.76151610463033,0.7615051160743757,-890
