,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
30,2017-01-31,2017,142450,142450,217328670.0833335,2346600.766666669,110954,0,82,0.822976482976483,24095038,1585438066,605837,605837,216167072.30000025,2343918.8999999547,111224,0,82,0.19469428245550716,1680666748,-463387,-463387,1161597.783333242,2681.866666714195,-270,0,0,0.6282822005209758,-1656571710,1525.6487896337908,356.8073133532621,1168.8414762805287,0.7788978588978589,0.18358733454708115,-270
31,2017-02-01,2017,143840,143840,217945563.71666676,2362574.133333335,112466,0,78,0.8307911568409347,23932339,1595056668,368002,368002,216761552.89999902,2358964.6666664705,112840,0,80,0.32743300308151246,1669637133,-224162,-224162,1184010.8166677356,3609.466666864697,-374,0,-2,0.5033581537594223,-1645704794,1515.1944084862816,589.0227577567487,926.171650729533,0.7818826473859845,0.30662876832191127,-374
32,2017-02-02,2017,150676,150676,218536311.63333327,2404289.6166666658,116182,0,87,0.8223539249780987,24494106,1605267016,380734,380734,217358539.96666247,2401066.5166666135,116462,0,87,0.32739918158084547,1677931826,-230058,-230058,1177771.6666707993,3223.100000052247,-280,0,0,0.4949547433972532,-1653437720,1450.3723992761506,570.8934320724245,879.4789672037261,0.7710717035227906,0.30588810035352765,-280
33,2017-02-03,2017,150832,150832,218992090.46666688,2407529.4,116789,0,62,0.8221531240055164,24359829,1614413611,385434,385434,217795805.39999682,2404078.8833332937,117040,0,62,0.32397245702247474,1685200885,-234602,-234602,1196285.0666700602,3450.516666706186,-251,0,0,0.4981806669830417,-1660841056,1451.8940971853908,565.0664066999715,886.8276904854193,0.7742985573353135,0.3036576949620428,-251
34,2017-02-04,2017,152889,152889,219065606.26666674,2416824.9999999995,118206,0,59,0.8286534675483517,24452453,1621082717,394892,394892,217869359.44999695,2413079.7166666146,118632,0,60,0.3238910892092028,1692721730,-242003,-242003,1196246.816669792,3745.2833333848976,-426,0,-1,0.5047623783391488,-1668269277,1432.8408601447243,551.7188483180134,881.1220118267108,0.7731491474206778,0.3004163163599161,-426
35,2017-02-05,2017,149666,149666,218987782.5666664,2392874.1166666686,116268,0,58,0.8293333155158824,24224471,1626513832,398777,398777,217775578.46666285,2389319.0833332986,116588,0,58,0.3136991351055836,1699304451,-249111,-249111,1212204.1000035405,3555.0333333699964,-320,0,0,0.5156341804102988,-1675079980,1463.1765569111649,546.1086734356868,917.0678834754781,0.7768497855224299,0.2923639026322983,-320
36,2017-02-06,2017,153688,153688,219554053.15000018,2449578.099999998,120167,0,48,0.8354718650772998,24607879,1636483450,408838,408838,218337015.0666666,2445463.4166664537,120606,0,49,0.31661440472754837,1705414758,-255150,-255150,1217038.0833335817,4114.683333544526,-439,0,-1,0.5188574603497513,-1680806879,1428.5699153479788,534.0428606603755,894.5270546876034,0.7818892821820832,0.2949970403925271,-439
37,2017-02-07,2017,155418,155418,220058337.61666667,2427255.0666666664,122068,0,59,0.8394716184740504,24364974,1644790676,411672,411672,218829633.3833331,2423645.783333136,122385,0,59,0.31895538195456397,1709212349,-256254,-256254,1228704.2333335876,3609.2833335306495,-317,0,0,0.5205162365194864,-1684847375,1415.9128132948995,531.5630729885274,884.349740306372,0.7854173905210464,0.2972876464758351,-317
38,2017-02-08,2017,163747,163747,220735637.73333356,2511271.783333337,127870,0,70,0.8370718242166257,24579773,1653563613,424956,424956,219502883.8166634,2507263.7333332626,128224,0,70,0.32554899801391285,1716771037,-261209,-261209,1232753.9166701436,4008.0500000743195,-354,0,0,0.5115228262027129,-1692191264,1348.0285912617242,516.5308498213071,831.497741440417,0.7808998027444778,0.3017347678347876,-354
39,2017-02-09,2017,153794,153794,220968451.86666673,2498056.1833333317,121402,0,58,0.8440186223129635,25099648,1660118106,422400,422400,219740109.0166669,2494511.166666433,121793,0,59,0.3100781249999957,1723856111,-268606,-268606,1228342.849999845,3545.016666898504,-391,0,-1,0.5339404973129678,-1698756463,1436.782006233447,520.2180611190031,916.5639451144439,0.7893806000234079,0.28833570075757575,-391
40,2017-02-10,2017,155476,155476,221283294.18333343,2500084.3000000007,121866,0,59,0.8380843345596752,24954676,1667459564,430998,430998,220049717.09999782,2496482.6333331103,122222,0,61,0.30469978979020607,1731203157,-275522,-275522,1233577.0833356082,3601.6666668904945,-356,0,-2,0.5333845447694692,-1706248481,1423.2633601541938,510.5585573482889,912.7048028059049,0.783825156294219,0.2835790421301259,-356
41,2017-02-11,2017,160668,160668,221474997.0166665,2513371.5166666666,126048,0,50,0.8395946921602312,24920467,1673958954,441850,441850,220248882.13333356,2510241.7333330754,126466,0,50,0.30771302478216145,1738341440,-281182,-281182,1226114.883332938,3129.7833335911855,-418,0,0,0.5318816673780697,-1713420973,1378.4636456336452,498.4698022707561,879.9938433628892,0.7845246097542758,0.2862193051940704,-418
42,2017-02-12,2017,166033,166033,221433354.21666676,2567318.183333333,128720,0,54,0.8320936199430234,25248922,1678478926,453468,453468,220174271.8666622,2563333.4833333082,129239,0,55,0.30798424585637546,1744815011,-287435,-287435,1259082.3500045538,3984.7000000248663,-519,0,-1,0.524109374086648,-1719566089,1333.6707414590278,485.53430863183775,848.13643282719,0.7752675672908398,0.28500136724090785,-519
43,2017-02-13,2017,167331,167331,222031709.91666645,2618719.6666666665,129695,0,64,0.8354518887713573,26035421,1689029102,458640,458640,220742586.9333294,2614557.933333287,130315,0,64,0.3088326356183571,1752829540,-291309,-291309,1289122.9833370447,4161.733333379496,-620,0,0,0.5266192531530003,-1726794119,1326.9012311924655,481.29815745100603,845.6030737414594,0.7750805290113607,0.2841335252049538,-620
44,2017-02-14,2017,171027,171027,222678807.7666665,2645436.449999999,132668,0,81,0.8364351827489239,25256805,1697620172,465482,465482,221394649.86666554,2641300.0999999125,133105,0,81,0.31019459399074556,1759605128,-294455,-294455,1284157.9000009596,4136.3500000862405,-437,0,0,0.5262405887581784,-1734348323,1302.0096696233138,475.6245136582414,826.3851559650724,0.7757137761873856,0.2859509068019816,-437
45,2017-02-15,2017,174478,174478,223268387.93333343,2684538.133333329,135443,0,86,0.8406274716583174,25964794,1706922615,475304,475304,221967717.3333333,2680245.533333102,136086,0,88,0.31301440762122223,1767839357,-300826,-300826,1300670.6000001132,4292.600000227336,-643,0,-2,0.5276130640370952,-1741874563,1279.6363319921907,467.0015765348773,812.6347554573133,0.7762755189766045,0.28631360140036693,-643
46,2017-02-16,2017,173877,173877,223804885.25,2609316.0499999993,135122,0,57,0.8338825721630816,24239995,1714414025,481622,481622,222518851.316667,2603734.0666665505,135562,0,57,0.30369667498578545,1776436038,-307745,-307745,1286033.9333330095,5581.983333448879,-440,0,0,0.5301858971772961,-1752196043,1287.144850957861,462.01969867794037,825.1251522799207,0.7771125565773507,0.2814697003043881,-440
47,2017-02-17,2017,175801,175801,224471896.21666658,2681276.2499999986,137066,0,59,0.8402113753619145,25350471,1722535056,492588,492588,223181857.36666602,2676039.549999941,137598,0,59,0.3031986162878502,1786284096,-316787,-316787,1290038.8500005603,5236.700000057463,-532,0,0,0.5370127590740643,-1760933625,1276.8522148148566,453.08017525125666,823.7720395636,0.7796656446777891,0.2793368900582231,-532
48,2017-02-18,2017,171962,171962,224633909.16666663,2654375.8499999964,133247,0,60,0.8379467556785797,25062900,1728574128,497667,497667,223315620.31666374,2649026.849999905,133751,0,61,0.29291875892916586,1793164691,-325705,-325705,1318288.8500028849,5349.00000009127,-504,0,-1,0.5450279967494138,-1768101791,1306.2997009029125,448.7249914434024,857.5747094595101,0.7748630511392052,0.2687560155686433,-504
49,2017-02-19,2017,170315,170315,224812949.23333326,2625187.05,131969,0,137,0.8326806212018906,24737952,1734553655,504634,504634,223489498.98333192,2620350.716666501,132261,0,137,0.28359959891723363,1803355019,-334319,-334319,1323450.250001341,4836.333333498798,-292,0,0,0.5490810222846569,-1778617067,1319.9832617992147,442.8744376782617,877.1088241209529,0.7748524792296627,0.26209292279156776,-292
